ant-table-cell,ant-table-cell 2,ant-table-cell 3,ant-table-cell 4,ant-table-cell 5
2023-12-09 18:02:15,Report,Voltage,226.60V,device itself
2023-12-09 18:01:40,Report,Current,192mA,device itself
2023-12-09 18:01:40,Report,Power,20.70W,device itself
2023-12-09 18:01:40,Report,Voltage,225.30V,device itself
2023-12-09 17:59:04,Report,Current,174mA,device itself
2023-12-09 17:59:04,Report,Power,18.90W,device itself
2023-12-09 17:59:04,Report,Voltage,225.80V,device itself
2023-12-09 17:58:29,Report,Current,390mA,device itself
2023-12-09 17:58:29,Report,Power,53.90W,device itself
2023-12-09 17:58:29,Report,Voltage,224.90V,device itself
2023-12-09 17:49:52,Report,Current,190mA,device itself
2023-12-09 17:49:52,Report,Power,22.20W,device itself
2023-12-09 17:49:52,Report,Voltage,223.70V,device itself
2023-12-09 17:48:54,Report,Add Electricity,0.00,device itself
2023-12-09 17:48:47,Report,Current,266mA,device itself
2023-12-09 17:48:47,Report,Power,23.50W,device itself
2023-12-09 17:48:47,Report,Voltage,222.80V,device itself
2023-12-09 17:47:14,Report,Voltage,224.90V,device itself
2023-12-09 17:03:48,Device semaphore,Device semaphore,signal intensity:-67||Remaining memory:40320||UTC:1702119828||DST:1702119828,device itself
2023-12-09 16:47:02,Report,Voltage,223.20V,device itself
2023-12-09 16:03:47,Device semaphore,Device semaphore,signal intensity:-70||Remaining memory:40320||UTC:1702116227||DST:1702116227,device itself
2023-12-09 15:34:35,Report,Add Electricity,0.00,device itself
2023-12-09 15:04:29,Report,Add Electricity,0.00,device itself
2023-12-09 15:03:47,Device semaphore,Device semaphore,signal intensity:-69||Remaining memory:40320||UTC:1702112627||DST:1702112627,device itself
2023-12-09 14:46:37,Report,Current,0mA,device itself
2023-12-09 14:46:37,Report,Power,0.00W,device itself
2023-12-09 14:46:37,Report,Voltage,222.40V,device itself
2023-12-09 14:42:07,Report,Current,162mA,device itself
2023-12-09 14:42:07,Report,Power,18.20W,device itself
2023-12-09 14:42:07,Report,Voltage,222.80V,device itself
2023-12-09 14:41:32,Report,Current,279mA,device itself
2023-12-09 14:41:32,Report,Power,34.40W,device itself
2023-12-09 14:41:32,Report,Voltage,223.20V,device itself
2023-12-09 14:40:57,Report,Current,195mA,device itself
2023-12-09 14:40:57,Report,Power,23.30W,device itself
2023-12-09 14:40:57,Report,Voltage,222.00V,device itself
2023-12-09 14:40:22,Report,Current,310mA,device itself
2023-12-09 14:40:22,Report,Power,39.60W,device itself
2023-12-09 14:34:23,Report,Add Electricity,0.01,device itself
2023-12-09 14:30:45,Report,Current,287mA,device itself
2023-12-09 14:30:45,Report,Power,32.20W,device itself
2023-12-09 14:30:45,Report,Voltage,221.60V,device itself
2023-12-09 14:14:07,Report,Current,170mA,device itself
2023-12-09 14:14:07,Report,Power,19.60W,device itself
2023-12-09 14:14:02,Report,Current,250mA,device itself
2023-12-09 14:14:02,Report,Power,31.40W,device itself
2023-12-09 14:14:02,Report,Voltage,220.40V,device itself
2023-12-09 14:12:57,Report,Current,214mA,device itself
2023-12-09 14:12:57,Report,Power,23.90W,device itself
2023-12-09 14:12:57,Report,Voltage,219.50V,device itself
2023-12-09 14:05:50,Report,Current,172mA,device itself
2023-12-09 14:05:50,Report,Power,19.50W,device itself
2023-12-09 14:05:50,Report,Voltage,221.60V,device itself
2023-12-09 14:05:15,Report,Current,261mA,device itself
2023-12-09 14:05:15,Report,Power,29.40W,device itself
2023-12-09 14:05:15,Report,Voltage,220.80V,device itself
2023-12-09 14:04:17,Report,Add Electricity,0.01,device itself
2023-12-09 14:03:47,Device semaphore,Device semaphore,signal intensity:-74||Remaining memory:40320||UTC:1702109027||DST:1702109027,device itself
2023-12-09 14:03:10,Report,Current,197mA,device itself
2023-12-09 14:03:10,Report,Power,18.40W,device itself
2023-12-09 14:03:10,Report,Voltage,219.50V,device itself
2023-12-09 14:02:35,Report,Current,231mA,device itself
2023-12-09 14:02:35,Report,Power,29.20W,device itself
2023-12-09 14:02:35,Report,Voltage,218.30V,device itself
2023-12-09 14:01:59,Report,Current,169mA,device itself
2023-12-09 14:01:59,Report,Power,19.80W,device itself
2023-12-09 14:01:59,Report,Voltage,217.90V,device itself
2023-12-09 14:01:24,Report,Current,239mA,device itself
2023-12-09 14:01:24,Report,Power,30.50W,device itself
2023-12-09 14:01:24,Report,Voltage,218.70V,device itself
2023-12-09 14:00:19,Report,Current,176mA,device itself
2023-12-09 14:00:19,Report,Power,24.60W,device itself
2023-12-09 14:00:19,Report,Voltage,219.50V,device itself
2023-12-09 13:52:42,Report,Current,172mA,device itself
2023-12-09 13:52:42,Report,Power,23.90W,device itself
2023-12-09 13:52:37,Report,Current,203mA,device itself
2023-12-09 13:52:37,Report,Power,19.80W,device itself
2023-12-09 13:52:37,Report,Voltage,219.10V,device itself
2023-12-09 13:52:32,Report,Current,227mA,device itself
2023-12-09 13:52:32,Report,Power,26.00W,device itself
2023-12-09 13:52:32,Report,Voltage,219.50V,device itself
2023-12-09 13:51:57,Report,Current,162mA,device itself
2023-12-09 13:51:57,Report,Power,18.50W,device itself
2023-12-09 13:51:52,Report,Current,215mA,device itself
2023-12-09 13:51:52,Report,Power,27.00W,device itself
2023-12-09 13:51:52,Report,Voltage,221.20V,device itself
2023-12-09 13:47:46,Report,Current,179mA,device itself
2023-12-09 13:47:46,Report,Power,20.20W,device itself
2023-12-09 13:47:46,Report,Voltage,221.60V,device itself
2023-12-09 13:47:11,Report,Current,284mA,device itself
2023-12-09 13:47:11,Report,Power,29.90W,device itself
2023-12-09 13:47:06,Report,Current,179mA,device itself
2023-12-09 13:47:06,Report,Power,20.70W,device itself
2023-12-09 13:47:06,Report,Voltage,222.00V,device itself
2023-12-09 13:47:01,Report,Current,190mA,device itself
2023-12-09 13:47:01,Report,Power,29.20W,device itself
2023-12-09 13:47:01,Report,Voltage,221.20V,device itself
2023-12-09 13:39:55,Report,Current,170mA,device itself
2023-12-09 13:39:55,Report,Power,21.20W,device itself
2023-12-09 13:39:55,Report,Voltage,220.40V,device itself
2023-12-09 13:39:50,Report,Current,209mA,device itself
2023-12-09 13:39:50,Report,Power,31.30W,device itself
2023-12-09 13:39:50,Report,Voltage,219.50V,device itself
2023-12-09 13:38:14,Report,Current,200mA,device itself
2023-12-09 13:38:14,Report,Power,26.00W,device itself
2023-12-09 13:38:14,Report,Voltage,220.80V,device itself
2023-12-09 13:38:09,Report,Current,240mA,device itself
2023-12-09 13:38:09,Report,Power,36.10W,device itself
2023-12-09 13:38:09,Report,Voltage,221.60V,device itself
2023-12-09 13:36:04,Report,Current,191mA,device itself
2023-12-09 13:36:04,Report,Power,25.50W,device itself
2023-12-09 13:36:04,Report,Voltage,222.00V,device itself
2023-12-09 13:34:59,Report,Current,199mA,device itself
2023-12-09 13:34:59,Report,Power,26.50W,device itself
2023-12-09 13:34:59,Report,Voltage,220.80V,device itself
2023-12-09 13:34:10,Report,Add Electricity,0.01,device itself
2023-12-09 13:15:20,Report,Current,287mA,device itself
2023-12-09 13:15:20,Report,Power,38.80W,device itself
2023-12-09 13:15:20,Report,Voltage,219.50V,device itself
2023-12-09 13:04:04,Report,Add Electricity,0.01,device itself
2023-12-09 13:03:47,Device semaphore,Device semaphore,signal intensity:-70||Remaining memory:40320||UTC:1702105427||DST:1702105427,device itself
2023-12-09 13:00:12,Report,Current,261mA,device itself
2023-12-09 13:00:12,Report,Power,31.70W,device itself
2023-12-09 13:00:12,Report,Voltage,218.70V,device itself
2023-12-09 12:59:37,Report,Current,180mA,device itself
2023-12-09 12:59:37,Report,Power,20.50W,device itself
2023-12-09 12:59:37,Report,Voltage,217.20V,device itself
2023-12-09 12:59:32,Report,Current,212mA,device itself
2023-12-09 12:59:32,Report,Power,28.40W,device itself
2023-12-09 12:59:32,Report,Voltage,219.50V,device itself
2023-12-09 12:42:53,Report,Current,241mA,device itself
2023-12-09 12:42:53,Report,Power,29.70W,device itself
2023-12-09 12:42:53,Report,Voltage,222.40V,device itself
2023-12-09 12:33:58,Report,Add Electricity,0.02,device itself
2023-12-09 12:33:47,Report,Current,205mA,device itself
2023-12-09 12:33:47,Report,Power,24.70W,device itself
2023-12-09 12:33:42,Report,Current,251mA,device itself
2023-12-09 12:33:42,Report,Power,33.10W,device itself
2023-12-09 12:33:42,Report,Voltage,224.50V,device itself
2023-12-09 12:32:06,Report,Current,288mA,device itself
2023-12-09 12:32:06,Report,Power,37.60W,device itself
2023-12-09 12:32:06,Report,Voltage,222.80V,device itself
2023-12-09 12:28:00,Report,Current,192mA,device itself
2023-12-09 12:28:00,Report,Power,21.70W,device itself
2023-12-09 12:27:55,Report,Current,253mA,device itself
2023-12-09 12:27:55,Report,Power,33.00W,device itself
2023-12-09 12:27:55,Report,Voltage,224.90V,device itself
2023-12-09 12:24:20,Report,Current,252mA,device itself
2023-12-09 12:24:20,Report,Power,27.90W,device itself
2023-12-09 12:24:20,Report,Voltage,221.60V,device itself
2023-12-09 12:23:45,Report,Current,226mA,device itself
2023-12-09 12:23:45,Report,Power,31.90W,device itself
2023-12-09 12:23:45,Report,Voltage,220.40V,device itself
2023-12-09 12:23:40,Report,Current,382mA,device itself
2023-12-09 12:23:40,Report,Power,44.20W,device itself
2023-12-09 12:23:40,Report,Voltage,220.00V,device itself
2023-12-09 12:23:04,Report,Current,202mA,device itself
2023-12-09 12:23:04,Report,Power,21.70W,device itself
2023-12-09 12:23:04,Report,Voltage,221.60V,device itself
2023-12-09 12:04:26,Report,Current,457mA,device itself
2023-12-09 12:04:26,Report,Power,58.30W,device itself
2023-12-09 12:04:26,Report,Voltage,223.20V,device itself
2023-12-09 12:04:04,Device restart,Device restart,power off reboot,device itself
2023-12-09 12:03:59,Report,Test Bit,1,device itself
2023-12-09 12:03:59,Report,voltage coe,544,device itself
2023-12-09 12:03:59,Report,electric coe,27777,device itself
2023-12-09 12:03:59,Report,power coe,15127,device itself
2023-12-09 12:03:59,Report,electricity coe,2760,device itself
2023-12-09 12:03:59,Report,Light Mode,Indicate switch on/off,device itself
2023-12-09 12:03:59,Report,Inching Switch,device itself,
2023-12-09 12:03:56,Report,Child Lock,OFF,device itself
2023-12-09 12:03:56,Report,Cycle Time,device itself,
2023-12-09 12:03:56,Report,Random Time,device itself,
2023-12-09 12:03:56,Report,Relay Status,Remember last status,device itself
2023-12-09 12:03:56,Report,Fault,0,device itself
2023-12-09 12:03:56,Report,Overcharge Switch,OFF,device itself
2023-12-09 12:03:56,Report,Current,0mA,device itself
2023-12-09 12:03:56,Report,Power,0.00W,device itself
2023-12-09 12:03:56,Report,Voltage,0.00V,device itself
2023-12-09 12:03:56,Report,Switch 1,ON,device itself
2023-12-09 12:03:56,Report,Countdown 1,0s,device itself
2023-12-09 12:03:55,Online,Online,device itself,
2023-12-09 04:26:38,Offline,Offline,keepalive_timeout,device itself
2023-12-09 04:19:44,Report,Current,0mA,device itself
2023-12-09 04:19:44,Report,Power,0.00W,device itself
2023-12-09 04:19:44,Report,Voltage,239.30V,device itself
2023-12-09 04:19:32,Report,Current,266mA,device itself
2023-12-09 04:19:32,Report,Power,37.20W,device itself
2023-12-09 04:19:27,Report,Current,282mA,device itself
2023-12-09 04:19:27,Report,Power,22.00W,device itself
2023-12-09 04:19:27,Report,Voltage,237.40V,device itself
2023-12-09 04:16:52,Report,Current,152mA,device itself
2023-12-09 04:16:52,Report,Power,16.70W,device itself
2023-12-09 04:16:46,Report,Current,143mA,device itself
2023-12-09 04:16:46,Report,Power,11.90W,device itself
2023-12-09 04:16:46,Report,Voltage,238.40V,device itself
2023-12-09 04:15:57,Device semaphore,Device semaphore,signal intensity:-66||Remaining memory:38720||UTC:1702073757||DST:1702073757,device itself
2023-12-09 04:14:13,Report,Current,170mA,device itself
2023-12-09 04:14:13,Report,Power,22.10W,device itself
2023-12-09 04:14:13,Report,Voltage,240.30V,device itself
2023-12-09 04:13:06,Report,Current,184mA,device itself
2023-12-09 04:13:06,Report,Power,25.20W,device itself
2023-12-09 04:10:00,Report,Current,137mA,device itself
2023-12-09 04:10:00,Report,Power,17.10W,device itself
2023-12-09 04:10:00,Report,Voltage,239.30V,device itself
2023-12-09 04:08:25,Report,Current,215mA,device itself
2023-12-09 04:08:25,Report,Power,27.60W,device itself
2023-12-09 04:08:25,Report,Voltage,237.90V,device itself
2023-12-09 04:03:19,Report,Current,160mA,device itself
2023-12-09 04:03:19,Report,Power,22.40W,device itself
2023-12-09 04:02:14,Report,Current,184mA,device itself
2023-12-09 04:02:14,Report,Power,23.90W,device itself
2023-12-09 04:02:14,Report,Voltage,239.80V,device itself
2023-12-09 04:02:08,Report,Current,155mA,device itself
2023-12-09 04:02:08,Report,Power,18.40W,device itself
2023-12-09 04:02:03,Report,Current,223mA,device itself
2023-12-09 04:02:03,Report,Power,28.10W,device itself
2023-12-09 04:02:03,Report,Voltage,239.30V,device itself
2023-12-09 04:01:58,Report,Current,155mA,device itself
2023-12-09 04:01:58,Report,Power,18.70W,device itself
2023-12-09 04:01:58,Report,Voltage,241.20V,device itself
2023-12-09 03:59:48,Report,Add Electricity,0.01,device itself
2023-12-09 03:59:23,Report,Current,213mA,device itself
2023-12-09 03:59:23,Report,Power,26.50W,device itself
2023-12-09 03:59:18,Report,Current,204mA,device itself
2023-12-09 03:59:18,Report,Power,35.00W,device itself
2023-12-09 03:55:42,Report,Current,167mA,device itself
2023-12-09 03:55:42,Report,Power,18.80W,device itself
2023-12-09 03:55:42,Report,Voltage,239.80V,device itself
2023-12-09 03:53:37,Report,Current,181mA,device itself
2023-12-09 03:53:37,Report,Power,20.40W,device itself
2023-12-09 03:53:32,Report,Current,209mA,device itself
2023-12-09 03:53:32,Report,Power,27.20W,device itself
2023-12-09 03:53:32,Report,Voltage,240.80V,device itself
2023-12-09 03:52:57,Report,Current,182mA,device itself
2023-12-09 03:52:57,Report,Power,20.90W,device itself
2023-12-09 03:52:57,Report,Voltage,241.20V,device itself
2023-12-09 03:52:52,Report,Current,272mA,device itself
2023-12-09 03:52:52,Report,Power,26.60W,device itself
2023-12-09 03:52:47,Report,Current,148mA,device itself
2023-12-09 03:52:47,Report,Power,18.10W,device itself
2023-12-09 03:52:47,Report,Voltage,238.40V,device itself
2023-12-09 03:52:42,Report,Current,213mA,device itself
2023-12-09 03:52:42,Report,Power,25.80W,device itself
2023-12-09 03:52:42,Report,Voltage,239.80V,device itself
2023-12-09 03:42:04,Report,Current,259mA,device itself
2023-12-09 03:42:04,Report,Power,24.40W,device itself
2023-12-09 03:41:29,Report,Current,152mA,device itself
2023-12-09 03:41:29,Report,Power,17.90W,device itself
2023-12-09 03:39:54,Report,Current,188mA,device itself
2023-12-09 03:39:54,Report,Power,23.60W,device itself
2023-12-09 03:39:54,Report,Voltage,239.30V,device itself
2023-12-09 03:33:18,Report,Current,212mA,device itself
2023-12-09 03:33:18,Report,Power,22.00W,device itself
2023-12-09 03:33:13,Report,Current,194mA,device itself
2023-12-09 03:33:13,Report,Power,28.50W,device itself
2023-12-09 03:33:13,Report,Voltage,238.80V,device itself
2023-12-09 03:29:42,Report,Add Electricity,0.01,device itself
2023-12-09 03:24:36,Report,Current,172mA,device itself
2023-12-09 03:24:36,Report,Power,20.60W,device itself
2023-12-09 03:24:36,Report,Voltage,239.30V,device itself
2023-12-09 03:22:30,Report,Current,156mA,device itself
2023-12-09 03:22:30,Report,Power,18.60W,device itself
2023-12-09 03:22:30,Report,Voltage,238.80V,device itself
2023-12-09 03:19:25,Report,Current,202mA,device itself
2023-12-09 03:19:25,Report,Power,26.50W,device itself
2023-12-09 03:19:25,Report,Voltage,237.40V,device itself
2023-12-09 03:17:50,Report,Current,147mA,device itself
2023-12-09 03:17:50,Report,Power,20.60W,device itself
2023-12-09 03:17:44,Report,Current,155mA,device itself
2023-12-09 03:17:44,Report,Power,16.90W,device itself
2023-12-09 03:17:44,Report,Voltage,238.80V,device itself
2023-12-09 03:15:56,Device semaphore,Device semaphore,signal intensity:-70||Remaining memory:38720||UTC:1702070156||DST:1702070156,device itself
2023-12-09 03:12:08,Report,Current,225mA,device itself
2023-12-09 03:12:08,Report,Power,26.00W,device itself
2023-12-09 03:12:08,Report,Voltage,238.40V,device itself
2023-12-09 03:11:03,Report,Current,205mA,device itself
2023-12-09 03:11:03,Report,Power,21.70W,device itself
2023-12-09 03:11:03,Report,Voltage,238.80V,device itself
2023-12-09 03:10:28,Report,Current,230mA,device itself
2023-12-09 03:10:28,Report,Power,29.70W,device itself
2023-12-09 03:10:28,Report,Voltage,239.30V,device itself
2023-12-09 03:09:23,Report,Current,182mA,device itself
2023-12-09 03:09:23,Report,Power,24.70W,device itself
2023-12-09 03:09:23,Report,Voltage,239.80V,device itself
2023-12-09 03:03:47,Report,Current,172mA,device itself
2023-12-09 03:03:47,Report,Power,26.00W,device itself
2023-12-09 03:03:47,Report,Voltage,238.40V,device itself
2023-12-09 03:03:12,Report,Current,159mA,device itself
2023-12-09 03:03:12,Report,Power,21.90W,device itself
